category,deck,period,artist,tradition,uses,front_path,back_path,rights
historical,Rider-Waite-Smith,1909-1910,A. E. Waite / Pamela Colman Smith,Golden Dawn influenced illustrated English tarot,general readings; teaching; symbolism reference,historical/rider-waite-smith/front,historical/rider-waite-smith/back,Wikimedia Commons public domain scans
historical,Tarot de Marseille Jean Dodal,1701-1715,Jean Dodal workshop,French woodcut Marseille; pip-focused,historical study; Marseille reading; iconographic comparison,historical/tarot-de-marseille/front,historical/tarot-de-marseille/back,Wikimedia Commons PD-Art/public-domain source
historical,Sola Busca,c. 1491,Unknown North Italian workshop,Renaissance illustrated tarot; named scenes and figures,Renaissance symbolism; art history; comparative iconography,historical/sola-busca/front,historical/sola-busca/back,Wikimedia Commons public-domain reproductions
historical,Tarot Nouveau Grimaud,1898,Grimaud,French tarot nouveau pattern; scenic courts,playing-card history; European tarot comparison,historical/tarot-nouveau/front,historical/tarot-nouveau/back,Wikimedia Commons public-domain/PD-Art source
historical,Piedmontese Tarot Solesio,1865,Solesio,Italian-suited regional tarot,regional history; Marseille family comparison,historical/piedmontese-solesio/front,historical/piedmontese-solesio/back,Wikimedia Commons public-domain/PD-Art source
historical,Gassmann Swiss Tarot de Marseille,c. 1840-1870,François Gassmann,Swiss hand-colored Type II Marseille,color restoration; antique reproduction reference,historical/gassmann-swiss/front,historical/gassmann-swiss/back,Merchant reference photography; verify before reuse
historical,J. Müller Schaffhausen Tarot de Marseille,c. 1900,J. Müller & Cie.,Swiss-Marseille continuity,print history; condition reference,historical/schaffhausen-muller/front,historical/schaffhausen-muller/back,Merchant reference photography; verify before reuse
modern,Thoth Tarot,1938-1969,Aleister Crowley / Frieda Harris,Hermetic; astrological; Qabalistic; Egyptian,occult study; ceremonial symbolism; advanced readings,modern/thoth/front,modern/thoth/back,Copyrighted product photography and artwork
modern,Modern Witch Tarot,2019-2020,Lisa Sterle,Inclusive contemporary Rider-Waite reinterpretation,beginner teaching; representation study,modern/modern-witch/front,modern/modern-witch/back,Copyrighted product photography and artwork
modern,The Wild Unknown,2012,Kim Krans,Minimal animal and botanical linework,intuitive readings; animal symbolism; minimalist design,modern/wild-unknown/front,modern/wild-unknown/back,Copyrighted product photography and artwork
modern,The Light Seer's Tarot,2018-2019,Chris-Anne,Boho psychological Rider-Waite reinterpretation,self-reflection; journaling; archetype study,modern/light-seers/front,modern/light-seers/back,Copyrighted product photography and artwork
modern,Mystic Mondays,2018,Grace Duong,Neon gradients; geometric modern tarot,beginner readings; color and shape studies,modern/mystic-mondays/front,modern/mystic-mondays/back,Copyrighted product photography and artwork
modern,Everyday Witch Tarot,2017,Deborah Blake / Elisabeth Alba,Playful witchcraft Rider-Waite structure,beginner practice; positive guidance,modern/everyday-witch/front,modern/everyday-witch/back,Copyrighted product photography and artwork
modern,Golden Thread Tarot,2015-2019,Tina Gong / Labyrinthos,Minimal black-and-gold digital-first system,digital readings; study deck; interface research,modern/golden-thread/front,modern/golden-thread/back,Copyrighted product photography and artwork
